Size = 7500 | ArrayType = almost_sorted | SortType = pure_merge 
Result: comparison = 96808 | swap = 0 | running time = 0.26801490783691406 second
Size = 7500 | ArrayType = almost_sorted | SortType = pure_insertion 
Result: comparison = 3351416 | swap = 3351416 | running time = 10.006572961807251 second
Size = 7500 | ArrayType = reversed_sorted | SortType = optimized 
Result: comparison = 92712 | swap = 10212 | running time = 0.24501395225524902 second
Size = 7500 | ArrayType = reversed_sorted | SortType = pure_merge 
Result: comparison = 96808 | swap = 0 | running time = 0.26001501083374023 second
Size = 7500 | ArrayType = reversed_sorted | SortType = pure_insertion 
Result: comparison = 28121250 | swap = 28121250 | running time = 82.490718126297 second
Size = 7500 | ArrayType = sorted | SortType = optimized 
Result: comparison = 82500 | swap = 0 | running time = 0.19301104545593262 second
Size = 7500 | ArrayType = sorted | SortType = pure_merge 
Result: comparison = 96808 | swap = 0 | running time = 0.23501300811767578 second
Size = 7500 | ArrayType = sorted | SortType = pure_insertion 
Result: comparison = 0 | swap = 0 | running time = 0.0019998550415039062 second
Size = 7500 | ArrayType = spiky | SortType = optimized 
Result: comparison = 87506 | swap = 5006 | running time = 0.22101211547851562 second
Size = 7500 | ArrayType = spiky | SortType = pure_merge 
Result: comparison = 96808 | swap = 0 | running time = 0.2540140151977539 second
Size = 7500 | ArrayType = spiky | SortType = pure_insertion 
Result: comparison = 14061678 | swap = 14061678 | running time = 42.29841995239258 second
Size = 10000 | ArrayType = random | SortType = optimized 
Result: comparison = 119772 | swap = 9772 | running time = 0.3060169219970703 second
Size = 10000 | ArrayType = random | SortType = pure_merge 
Result: comparison = 133616 | swap = 0 | running time = 0.35301995277404785 second
Size = 10000 | ArrayType = random | SortType = pure_insertion 
Result: comparison = 25042801 | swap = 25042801 | running time = 73.94922995567322 second
Size = 10000 | ArrayType = almost_sorted | SortType = optimized 
Result: comparison = 113168 | swap = 3168 | running time = 0.3130180835723877 second
Size = 10000 | ArrayType = almost_sorted | SortType = pure_merge 
Result: comparison = 133616 | swap = 0 | running time = 0.3820219039916992 second
Size = 10000 | ArrayType = almost_sorted | SortType = pure_insertion 
Result: comparison = 5647062 | swap = 5647062 | running time = 16.041917085647583 second
Size = 10000 | ArrayType = reversed_sorted | SortType = optimized 
Result: comparison = 129520 | swap = 19520 | running time = 0.30301690101623535 second
Size = 10000 | ArrayType = reversed_sorted | SortType = pure_merge 
Result: comparison = 133616 | swap = 0 | running time = 0.35701990127563477 second
Size = 10000 | ArrayType = reversed_sorted | SortType = pure_insertion 
Result: comparison = 49995000 | swap = 49995000 | running time = 142.44414806365967 second
Size = 10000 | ArrayType = sorted | SortType = optimized 
Result: comparison = 110000 | swap = 0 | running time = 0.26001501083374023 second
Size = 10000 | ArrayType = sorted | SortType = pure_merge 
Result: comparison = 133616 | swap = 0 | running time = 0.30101704597473145 second
Size = 10000 | ArrayType = sorted | SortType = pure_insertion 
Result: comparison = 0 | swap = 0 | running time = 0.005000114440917969 second
Size = 10000 | ArrayType = spiky | SortType = optimized 
Result: comparison = 119750 | swap = 9750 | running time = 0.3150179386138916 second
Size = 10000 | ArrayType = spiky | SortType = pure_merge 
Result: comparison = 133616 | swap = 0 | running time = 0.5540308952331543 second
Size = 10000 | ArrayType = spiky | SortType = pure_insertion 
Result: comparison = 25172932 | swap = 25172932 | running time = 73.99823307991028 second
Size = 15000 | ArrayType = random | SortType = optimized 
Result: comparison = 190130 | swap = 10130 | running time = 0.5350298881530762 second
Size = 15000 | ArrayType = random | SortType = pure_merge 
Result: comparison = 208616 | swap = 0 | running time = 0.7430419921875 second
Size = 15000 | ArrayType = random | SortType = pure_insertion 
Result: comparison = 56210405 | swap = 56210405 | running time = 164.41440391540527 second
Size = 15000 | ArrayType = almost_sorted | SortType = optimized 
Result: comparison = 183311 | swap = 3311 | running time = 0.4350240230560303 second
Size = 15000 | ArrayType = almost_sorted | SortType = pure_merge 
Result: comparison = 208616 | swap = 0 | running time = 0.5420310497283936 second
Size = 15000 | ArrayType = almost_sorted | SortType = pure_insertion 
Result: comparison = 12783786 | swap = 12783786 | running time = 37.73015809059143 second
Size = 15000 | ArrayType = reversed_sorted | SortType = optimized 
Result: comparison = 200424 | swap = 20424 | running time = 0.4760270118713379 second
Size = 15000 | ArrayType = reversed_sorted | SortType = pure_merge 
Result: comparison = 208616 | swap = 0 | running time = 0.5740330219268799 second
Size = 15000 | ArrayType = reversed_sorted | SortType = pure_insertion 
Result: comparison = 112492500 | swap = 112492500 | running time = 328.8518099784851 second
Size = 15000 | ArrayType = sorted | SortType = optimized 
Result: comparison = 180000 | swap = 0 | running time = 0.3630208969116211 second
Size = 15000 | ArrayType = sorted | SortType = pure_merge 
Result: comparison = 208616 | swap = 0 | running time = 0.48302793502807617 second
